fighter,PP Line,DK Line,Difference (PP−DK),Best Bet (DK),Going Distance,Actual,Between Lines,PP Bet Correct,DK Bet Correct
Tagir Ulanbekov,32.5,39.5,-7.0,under,−250,,,,
Kyoji Horiguchi,37.5,36.5,1.0,over,−250,,,,
Jack Hermansson,34.5,41.5,-7.0,under,−125,,,,
Volkan Oezdemir,29.5,44.5,-15.0,under,+150,,,,
Alonzo Menifield,44.5,30.5,14.0,over,+150,,,,
Belal Muhammad,61.5,44.5,17.0,over,−275,,,,
Ian Machado Garry,44.5,61.5,-17.0,under,−275,,,,
Arman Tsarukyan,33.5,60.5,-27.0,under,+165,,,,
Dan Hooker,63.5,33.5,30.0,over,+165,,,,
